DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00202 (68.3%) | loss: -21.6222 | dt: 788ms | epoch: 1 | rem: 95s 
step 00203 (68.6%) | loss: -21.6194 | dt: 806ms | epoch: 1 | rem: 94s 
step 00204 (68.9%) | loss: -21.6257 | dt: 798ms | epoch: 1 | rem: 93s 
step 00205 (69.1%) | loss: -21.6272 | dt: 772ms | epoch: 1 | rem: 93s 
step 00206 (69.4%) | loss: -21.6185 | dt: 786ms | epoch: 1 | rem: 92s 
step 00207 (69.7%) | loss: -21.6190 | dt: 780ms | epoch: 1 | rem: 91s 
step 00208 (69.9%) | loss: -21.6305 | dt: 786ms | epoch: 1 | rem: 90s 
step 00209 (70.2%) | loss: -21.6362 | dt: 790ms | epoch: 1 | rem: 89s 
step 00210 (70.4%) | loss: -21.6381 | dt: 782ms | epoch: 1 | rem: 89s 
step 00211 (70.7%) | loss: -21.6473 | dt: 796ms | epoch: 1 | rem: 88s 
step 00212 (71.0%) | loss: -21.6491 | dt: 795ms | epoch: 1 | rem: 87s 
step 00213 (71.2%) | loss: -21.6460 | dt: 795ms | epoch: 1 | rem: 86s 
step 00214 (71.5%) | loss: -21.6457 | dt: 780ms | epoch: 1 | rem: 85s 
step 00215 (71.8%) | loss: -21.6436 | dt: 793ms | epoch: 1 | rem: 85s 
step 00216 (72.0%) | loss: -21.6468 | dt: 777ms | epoch: 1 | rem: 84s 
step 00217 (72.3%) | loss: -21.6391 | dt: 798ms | epoch: 1 | rem: 83s 
step 00218 (72.6%) | loss: -21.6435 | dt: 795ms | epoch: 1 | rem: 82s 
step 00219 (72.8%) | loss: -21.6470 | dt: 780ms | epoch: 1 | rem: 82s 
step 00220 (73.1%) | loss: -21.6534 | dt: 793ms | epoch: 1 | rem: 81s 
step 00221 (73.3%) | loss: -21.6552 | dt: 783ms | epoch: 1 | rem: 80s 
step 00222 (73.6%) | loss: -21.6537 | dt: 791ms | epoch: 1 | rem: 79s 
step 00223 (74.6%) | loss: -21.6563 | dt: 2954ms | epoch: 1 | rem: 76s 
step 00224 (74.9%) | loss: -21.6574 | dt: 802ms | epoch: 1 | rem: 75s 
step 00225 (75.1%) | loss: -21.6565 | dt: 784ms | epoch: 1 | rem: 75s 
step 00226 (75.4%) | loss: -21.6600 | dt: 800ms | epoch: 1 | rem: 74s 
step 00227 (75.7%) | loss: -21.6574 | dt: 806ms | epoch: 1 | rem: 73s 
step 00228 (75.9%) | loss: -21.6556 | dt: 815ms | epoch: 1 | rem: 72s 
step 00229 (76.2%) | loss: -21.6548 | dt: 798ms | epoch: 1 | rem: 71s 
step 00230 (76.5%) | loss: -21.6586 | dt: 788ms | epoch: 1 | rem: 71s 
step 00231 (76.7%) | loss: -21.6584 | dt: 813ms | epoch: 1 | rem: 70s 
step 00232 (77.0%) | loss: -21.6646 | dt: 806ms | epoch: 1 | rem: 69s 
step 00233 (77.2%) | loss: -21.6653 | dt: 763ms | epoch: 1 | rem: 68s 
step 00234 (77.5%) | loss: -21.6616 | dt: 778ms | epoch: 1 | rem: 67s 
step 00235 (77.8%) | loss: -21.6641 | dt: 764ms | epoch: 1 | rem: 67s 
step 00236 (78.0%) | loss: -21.6713 | dt: 755ms | epoch: 1 | rem: 66s 
step 00237 (78.3%) | loss: -21.6740 | dt: 778ms | epoch: 1 | rem: 65s 
step 00238 (78.5%) | loss: -21.6699 | dt: 779ms | epoch: 1 | rem: 64s 
step 00239 (78.8%) | loss: -21.6671 | dt: 764ms | epoch: 1 | rem: 64s 
step 00240 (79.0%) | loss: -21.6604 | dt: 766ms | epoch: 1 | rem: 63s 
step 00241 (79.3%) | loss: -21.6650 | dt: 766ms | epoch: 1 | rem: 62s 
step 00242 (79.6%) | loss: -21.6606 | dt: 777ms | epoch: 1 | rem: 61s 
step 00243 (79.8%) | loss: -21.6616 | dt: 782ms | epoch: 1 | rem: 61s 
step 00244 (80.1%) | loss: -21.6653 | dt: 774ms | epoch: 1 | rem: 60s 
step 00245 (80.3%) | loss: -21.6694 | dt: 765ms | epoch: 1 | rem: 59s 
step 00246 (80.6%) | loss: -21.6720 | dt: 782ms | epoch: 1 | rem: 58s 
step 00247 (80.9%) | loss: -21.6664 | dt: 790ms | epoch: 1 | rem: 57s 
step 00248 (81.1%) | loss: -21.6639 | dt: 777ms | epoch: 1 | rem: 57s 
step 00249 (81.4%) | loss: -21.6611 | dt: 766ms | epoch: 1 | rem: 56s 
step 00250 (81.6%) | loss: -21.6685 | dt: 770ms | epoch: 1 | rem: 55s 
step 00251 (81.9%) | loss: -21.6687 | dt: 780ms | epoch: 1 | rem: 54s 
step 00252 (82.1%) | loss: -21.6771 | dt: 780ms | epoch: 1 | rem: 54s 
step 00253 (82.4%) | loss: -21.6849 | dt: 793ms | epoch: 1 | rem: 53s 
step 00254 (82.7%) | loss: -21.6853 | dt: 808ms | epoch: 1 | rem: 52s 
step 00255 (82.9%) | loss: -21.6871 | dt: 796ms | epoch: 1 | rem: 51s 
step 00256 (83.2%) | loss: -21.6842 | dt: 812ms | epoch: 1 | rem: 50s 
step 00257 (83.5%) | loss: -21.6846 | dt: 815ms | epoch: 1 | rem: 50s 
step 00258 (83.8%) | loss: -21.6786 | dt: 797ms | epoch: 1 | rem: 49s 
step 00259 (84.0%) | loss: -21.6795 | dt: 804ms | epoch: 1 | rem: 48s 
step 00260 (84.3%) | loss: -21.6798 | dt: 799ms | epoch: 1 | rem: 47s 
step 00261 (84.6%) | loss: -21.6810 | dt: 798ms | epoch: 1 | rem: 46s 
step 00262 (84.8%) | loss: -21.6724 | dt: 829ms | epoch: 1 | rem: 46s 
step 00263 (86.1%) | loss: -21.6779 | dt: 3659ms | epoch: 1 | rem: 42s 
step 00264 (86.3%) | loss: -21.6742 | dt: 844ms | epoch: 1 | rem: 41s 
step 00265 (86.6%) | loss: -21.6721 | dt: 838ms | epoch: 1 | rem: 40s 
step 00266 (86.9%) | loss: -21.6730 | dt: 846ms | epoch: 1 | rem: 39s 
step 00267 (87.2%) | loss: -21.6723 | dt: 841ms | epoch: 1 | rem: 38s 
step 00268 (87.5%) | loss: -21.6709 | dt: 840ms | epoch: 1 | rem: 38s 
step 00269 (87.7%) | loss: -21.6691 | dt: 824ms | epoch: 1 | rem: 37s 
step 00270 (88.0%) | loss: -21.6598 | dt: 836ms | epoch: 1 | rem: 36s 
step 00271 (88.3%) | loss: -21.6556 | dt: 809ms | epoch: 1 | rem: 35s 
step 00272 (88.5%) | loss: -21.6628 | dt: 798ms | epoch: 1 | rem: 34s 
step 00273 (88.8%) | loss: -21.6605 | dt: 795ms | epoch: 1 | rem: 34s 
step 00274 (89.1%) | loss: -21.6677 | dt: 794ms | epoch: 1 | rem: 33s 
step 00275 (89.3%) | loss: -21.6598 | dt: 794ms | epoch: 1 | rem: 32s 
step 00276 (89.6%) | loss: -21.6699 | dt: 800ms | epoch: 1 | rem: 31s 
step 00277 (89.9%) | loss: -21.6707 | dt: 806ms | epoch: 1 | rem: 30s 
step 00278 (90.1%) | loss: -21.6727 | dt: 797ms | epoch: 1 | rem: 30s 
step 00279 (90.4%) | loss: -21.6794 | dt: 792ms | epoch: 1 | rem: 29s 
step 00280 (90.7%) | loss: -21.6804 | dt: 797ms | epoch: 1 | rem: 28s 
step 00281 (90.9%) | loss: -21.6747 | dt: 803ms | epoch: 1 | rem: 27s 
step 00282 (91.2%) | loss: -21.6744 | dt: 782ms | epoch: 1 | rem: 26s 
