Simplified VQ-VAE (autoresearch)
  latent_dim: 64, num_codes: 512
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00098 (2.3%) | loss: 0.4703 | recon: 0.0537 | vq: 0.4296 | H: 2.82 | dt: 80ms | rem: 293s 
step 00099 (2.4%) | loss: 0.4744 | recon: 0.0538 | vq: 0.4355 | H: 2.83 | dt: 84ms | rem: 293s 
step 00100 (2.4%) | loss: 0.4798 | recon: 0.0546 | vq: 0.4514 | H: 2.82 | dt: 80ms | rem: 293s 
step 00101 (2.4%) | loss: 0.4838 | recon: 0.0535 | vq: 0.4451 | H: 2.87 | dt: 79ms | rem: 293s 
step 00102 (2.4%) | loss: 0.4892 | recon: 0.0540 | vq: 0.4615 | H: 2.82 | dt: 83ms | rem: 293s 
step 00103 (2.5%) | loss: 0.4944 | recon: 0.0533 | vq: 0.4669 | H: 2.85 | dt: 73ms | rem: 293s 
step 00104 (2.5%) | loss: 0.4997 | recon: 0.0535 | vq: 0.4725 | H: 2.92 | dt: 82ms | rem: 293s 
step 00105 (2.5%) | loss: 0.5048 | recon: 0.0526 | vq: 0.4764 | H: 2.91 | dt: 82ms | rem: 292s 
step 00106 (2.5%) | loss: 0.5111 | recon: 0.0534 | vq: 0.4930 | H: 2.85 | dt: 76ms | rem: 292s 
step 00107 (2.6%) | loss: 0.5179 | recon: 0.0532 | vq: 0.5043 | H: 2.87 | dt: 83ms | rem: 292s 
step 00108 (2.6%) | loss: 0.5253 | recon: 0.0534 | vq: 0.5164 | H: 2.86 | dt: 82ms | rem: 292s 
step 00109 (2.6%) | loss: 0.5321 | recon: 0.0525 | vq: 0.5191 | H: 2.90 | dt: 80ms | rem: 292s 
step 00110 (2.7%) | loss: 0.5390 | recon: 0.0525 | vq: 0.5272 | H: 2.96 | dt: 85ms | rem: 292s 
step 00111 (2.7%) | loss: 0.5468 | recon: 0.0530 | vq: 0.5429 | H: 2.93 | dt: 84ms | rem: 292s 
step 00112 (2.7%) | loss: 0.5555 | recon: 0.0533 | vq: 0.5594 | H: 2.87 | dt: 78ms | rem: 292s 
step 00113 (2.7%) | loss: 0.5644 | recon: 0.0531 | vq: 0.5691 | H: 2.86 | dt: 83ms | rem: 292s 
step 00114 (2.8%) | loss: 0.5731 | recon: 0.0524 | vq: 0.5778 | H: 2.94 | dt: 81ms | rem: 292s 
step 00115 (2.8%) | loss: 0.5824 | recon: 0.0526 | vq: 0.5924 | H: 2.88 | dt: 80ms | rem: 292s 
step 00116 (2.8%) | loss: 0.5925 | recon: 0.0527 | vq: 0.6089 | H: 2.90 | dt: 85ms | rem: 292s 
step 00117 (2.8%) | loss: 0.6019 | recon: 0.0521 | vq: 0.6133 | H: 2.93 | dt: 79ms | rem: 291s 
step 00118 (2.9%) | loss: 0.6120 | recon: 0.0529 | vq: 0.6280 | H: 2.92 | dt: 85ms | rem: 291s 
step 00119 (2.9%) | loss: 0.6233 | recon: 0.0523 | vq: 0.6510 | H: 2.86 | dt: 79ms | rem: 291s 
step 00120 (2.9%) | loss: 0.6342 | recon: 0.0521 | vq: 0.6591 | H: 2.89 | dt: 82ms | rem: 291s 
step 00121 (3.0%) | loss: 0.6443 | recon: 0.0514 | vq: 0.6625 | H: 2.94 | dt: 82ms | rem: 291s 
step 00122 (3.0%) | loss: 0.6564 | recon: 0.0521 | vq: 0.6917 | H: 2.84 | dt: 82ms | rem: 291s 
step 00123 (3.0%) | loss: 0.6673 | recon: 0.0509 | vq: 0.6933 | H: 2.92 | dt: 78ms | rem: 291s 
step 00124 (3.0%) | loss: 0.6799 | recon: 0.0516 | vq: 0.7194 | H: 2.86 | dt: 86ms | rem: 291s 
step 00125 (3.1%) | loss: 0.6938 | recon: 0.0517 | vq: 0.7454 | H: 2.86 | dt: 79ms | rem: 291s 
step 00126 (3.1%) | loss: 0.7079 | recon: 0.0517 | vq: 0.7618 | H: 2.88 | dt: 80ms | rem: 291s 
step 00127 (3.1%) | loss: 0.7222 | recon: 0.0516 | vq: 0.7777 | H: 2.83 | dt: 83ms | rem: 291s 
step 00128 (3.1%) | loss: 0.7382 | recon: 0.0518 | vq: 0.8081 | H: 2.82 | dt: 83ms | rem: 291s 
step 00129 (3.2%) | loss: 0.7551 | recon: 0.0513 | vq: 0.8337 | H: 2.75 | dt: 79ms | rem: 290s 
step 00130 (3.2%) | loss: 0.7704 | recon: 0.0507 | vq: 0.8356 | H: 2.84 | dt: 83ms | rem: 290s 
step 00131 (3.2%) | loss: 0.7869 | recon: 0.0514 | vq: 0.8621 | H: 2.86 | dt: 80ms | rem: 290s 
step 00132 (3.3%) | loss: 0.8061 | recon: 0.0518 | vq: 0.9053 | H: 2.79 | dt: 81ms | rem: 290s 
step 00133 (3.3%) | loss: 0.8254 | recon: 0.0514 | vq: 0.9256 | H: 2.78 | dt: 78ms | rem: 290s 
step 00134 (3.3%) | loss: 0.8445 | recon: 0.0510 | vq: 0.9438 | H: 2.81 | dt: 79ms | rem: 290s 
step 00135 (3.3%) | loss: 0.8635 | recon: 0.0504 | vq: 0.9614 | H: 2.77 | dt: 81ms | rem: 290s 
step 00136 (3.4%) | loss: 0.8814 | recon: 0.0503 | vq: 0.9710 | H: 2.83 | dt: 81ms | rem: 290s 
step 00137 (3.4%) | loss: 0.9004 | recon: 0.0504 | vq: 0.9989 | H: 2.80 | dt: 80ms | rem: 290s 
step 00138 (3.4%) | loss: 0.9217 | recon: 0.0504 | vq: 1.0401 | H: 2.74 | dt: 81ms | rem: 290s 
step 00139 (3.4%) | loss: 0.9434 | recon: 0.0505 | vq: 1.0661 | H: 2.75 | dt: 82ms | rem: 290s 
step 00140 (3.5%) | loss: 0.9645 | recon: 0.0503 | vq: 1.0818 | H: 2.79 | dt: 84ms | rem: 290s 
step 00141 (3.5%) | loss: 0.9839 | recon: 0.0498 | vq: 1.0874 | H: 2.80 | dt: 73ms | rem: 290s 
step 00142 (3.5%) | loss: 1.0059 | recon: 0.0497 | vq: 1.1319 | H: 2.77 | dt: 82ms | rem: 289s 
step 00143 (3.5%) | loss: 1.0268 | recon: 0.0493 | vq: 1.1429 | H: 2.78 | dt: 82ms | rem: 289s 
step 00144 (3.6%) | loss: 1.0456 | recon: 0.0493 | vq: 1.1444 | H: 2.82 | dt: 75ms | rem: 289s 
step 00145 (3.6%) | loss: 1.0687 | recon: 0.0496 | vq: 1.2047 | H: 2.74 | dt: 80ms | rem: 289s 
step 00146 (3.6%) | loss: 1.0922 | recon: 0.0493 | vq: 1.2323 | H: 2.74 | dt: 82ms | rem: 289s 
